commodity_spot_1,diffusion_mc_1,news_drift_1,pair_trading_1
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,3.0,2.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,3.0,4.0,2.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,4.0,3.0,2.0
1.0,2.0,,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,4.0,2.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,3.0,2.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
4.0,1.0,2.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,4.0,2.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
4.0,1.0,3.0,2.0
1.0,3.0,4.0,2.0
1.0,3.0,4.0,2.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,3.0,,2.0
1.0,3.0,2.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,3.0,2.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,3.0,,2.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,3.0,2.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,3.0,4.0,2.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,4.0,3.0,2.0
1.0,2.0,3.0,4.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,,3.0
1.0,2.0,3.0,4.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
1.0,2.0,4.0,3.0
