bot,z1,z2,consensus_skill,consensus_seed_std,plain_skill_diagnostic,rayproj_skill_diagnostic,best_seed,price_mse_best,n_conditions,n_races
TermStructureBot,-0.38496963577640786,-0.2782123160298864,0.7872130109393577,0.23080461745594916,0.7874249444503946,-0.44599203496714074,404,0.0005843216586234401,3,3
OliviaDAngelo,-1.4178993220130385,0.058893785193706,0.5830624139332399,0.02287605964848204,0.583271171425136,-0.7445809173277668,404,0.0005843216586234401,2,2
BiosecurityBot,0.08273597364367864,0.9159105947965586,0.47335314727711697,0.0489519061013286,0.3216731000902914,0.8053961747508992,404,0.0005843216586234401,40,56
KelvinWaveTrader,-0.259995830807857,-0.4219408701072329,0.30377083919817605,0.023717065049897866,0.2206350774667178,-0.49518371612722967,404,0.0005843216586234401,37,57
MercuryEnsembleBot,0.47088587947016997,0.38534862377810475,0.3017743674001797,0.08576163944882363,0.08825044380028449,0.5828607351943563,404,0.0005843216586234401,4,4
EnsembleBot,0.5239644967415742,-0.28918874719564946,0.20089755350776312,0.051146549579200125,0.09428651981652696,0.053508803349548245,404,0.0005843216586234401,14,15
BullionPulse,-0.39577255558247304,-0.01751002827428541,0.19963352385703467,0.04958316676010432,0.10079157935902427,-0.2359684501084703,404,0.0005843216586234401,7,7
CottonTextBot,0.6744313713742287,0.07308486729698217,0.08268995227661884,0.029588384329374294,-0.016926178862300613,0.437953273458387,404,0.0005843216586234401,50,69
fundbotquant,0.34345006536329636,0.2706276716620233,0.08021986382753313,0.06410591043723604,0.04564211146496671,0.41647347408391133,404,0.0005843216586234401,6,6
HarmattanTrader,0.20770886052305543,0.2745274508334534,0.06348147122742737,0.03716934131383226,-0.002907647106359078,0.343751006630584,404,0.0005843216586234401,18,20
StibniteEdge,0.09038677689146965,0.09761249639449202,0.05497159451767349,0.04816525711644178,0.05497159451767349,0.131476931911371,404,0.0005843216586234401,1,1
LadderArbBot,-0.05836727187721388,0.0706341105483874,0.04894697688931358,0.01092802042515993,0.011828334962812919,0.025881443550407113,404,0.0005843216586234401,87,98
Intercalation,0.15174926132963118,0.2609241931245596,0.043577660856247674,0.020354127873428555,0.00786380838787858,0.3011642764009508,404,0.0005843216586234401,34,34
AviralPoddar,0.24383844335341082,0.2480751663187462,0.04241370401232715,0.02475868362458578,0.014035728616449519,0.34204398543506165,404,0.0005843216586234401,189,230
WhiteGoldTrader,0.07073052590023114,-0.02157526972787059,0.04176228373256816,0.03381035053839166,-0.012517464668999476,0.021696125505143157,404,0.0005843216586234401,45,67
EJFreni,0.13878408610141396,0.09600425510299124,0.04090963704817846,0.05338291754742587,0.04090963704817846,0.15722495592960095,404,0.0005843216586234401,1,1
SurfaceBrowser,0.2606397471000107,-0.013409273420697754,0.03866476741832924,0.03729986552671636,0.019020469544515563,0.1347285797071093,404,0.0005843216586234401,32,36
OliviaManual,0.11912101342997566,0.07722095866374082,0.03556179352280861,0.036876930186964293,0.03556179352280861,0.1306549211936097,404,0.0005843216586234401,1,1
CorpActionsBot,-0.025642345102466962,0.3091833510927585,0.03126541336709894,0.02346184166333079,-0.014896888246577391,0.24190091843071107,404,0.0005843216586234401,19,23
LlmAgCoverageBot,0.4216134655361734,0.0529151569726806,0.026966230825092103,0.05487872382952765,-0.017449840068620794,0.27977138981938604,404,0.0005843216586234401,7,8
SeleniumSeer,0.21207897068645842,0.15734970577801308,0.02621198904002788,0.013231484122146425,0.005554932297676516,0.24908014752024105,404,0.0005843216586234401,45,47
RareEarthObserver,0.09507258423837911,0.17319619594679825,0.02454818012499325,0.011896306646881752,0.009882960699482152,0.19674218736706248,404,0.0005843216586234401,41,41
GrindWatch,0.19613784977366183,0.004335556222777176,0.023398585924285755,0.021854235212387774,0.014900361488527029,0.11334306583784975,404,0.0005843216586234401,6,7
ThomasEvansGS,0.2647059312247249,0.022857352408661435,0.02322159432297851,0.014225089642489943,0.007605297454995466,0.16706138053329,404,0.0005843216586234401,46,47
RobbieDwyerEnhanced,0.03731049391117143,0.17808207501925832,0.021145362407806876,0.018053691909956263,0.005700210284777203,0.16847054490993862,404,0.0005843216586234401,49,50
SegmentKpiBot,0.272604176316402,0.043442619514325966,0.020433092077137532,0.00939901443551274,0.0037969440844278675,0.18854181686426985,404,0.0005843216586234401,171,197
CurtisSteele,0.13479294088752314,0.28563604734601106,0.020315589141797822,0.015817851128271734,-0.0023497881844602615,0.3121573220930331,404,0.0005843216586234401,35,35
BismuthBaron,0.015270038394899516,0.06075733656642935,0.019621338771229457,0.02284307907970833,0.008769342309257362,0.058899712060773206,404,0.0005843216586234401,37,37
ChrisChico,0.13916457978647273,-0.03080007397534054,0.018936794207695576,0.0280774842023374,0.0021789612419209356,0.05234323773163241,404,0.0005843216586234401,12,12
CraigTindale,0.0912904059234814,0.1464939239641651,0.01783264879268375,0.008475104843150439,0.00434310290513386,0.17249517913547863,404,0.0005843216586234401,40,40
ThomasEvansGSEnhanced,0.23176062097661504,0.013315814955836253,0.016400926773040468,0.013383282949037428,0.004770219054245388,0.14071872350429282,404,0.0005843216586234401,45,46
MomentumBot,0.2720695809004706,0.07227998643497868,0.015931142627954854,0.004667874616090706,0.00028790780692950456,0.21214290880378228,404,0.0005843216586234401,2871,4453
PGMEcosystemBot,0.11719608252443883,0.1895034962122777,0.015867454104482398,0.0038972841632447814,0.004327199533491758,0.22263687397180965,404,0.0005843216586234401,1213,1967
ChrisChicoEnhanced,0.301465921975684,0.20937751751109412,0.015103071488298214,0.02547366461379753,-0.007544456377744082,0.34221732464884375,404,0.0005843216586234401,12,12
