window,mode,n,mean_d_logloss
2023-07-31,plugin,2561,-0.00010383371317780072
2023-07-31,pp,2561,-0.00010860198819818069
2023-08-31,plugin,5679,-0.00025337917659532964
2023-08-31,pp,5679,-0.0002461508479460452
2023-09-30,plugin,6731,-4.6282428975898276e-05
2023-09-30,pp,6731,-4.916715680714651e-05
2023-10-31,plugin,11864,-4.1157481505504724e-05
2023-10-31,pp,11864,-4.066280082447821e-05
2023-11-30,plugin,29422,6.758522053414864e-06
2023-11-30,pp,29422,1.9130459528717295e-05
2023-12-31,plugin,25663,-8.188596775546049e-05
2023-12-31,pp,25663,-8.083656986237682e-05
2024-01-31,plugin,19747,-5.978085843485857e-05
2024-01-31,pp,19747,-6.346098473809392e-05
2024-02-29,plugin,36104,-0.0001464884239570889
2024-02-29,pp,36104,-0.00014379391895204559
2024-03-31,plugin,48760,-6.050662693244247e-05
2024-03-31,pp,48760,-6.03204947136791e-05
2024-04-30,plugin,107447,-5.081857848433032e-05
2024-04-30,pp,107447,-4.998125260011951e-05
2024-05-31,plugin,89995,-1.3784089752472018e-05
2024-05-31,pp,89995,-1.1764167231132507e-05
2024-06-30,plugin,65692,-3.298108019630257e-05
2024-06-30,pp,65692,-3.236524455320626e-05
2024-07-31,plugin,34934,-2.3354438393008138e-05
2024-07-31,pp,34934,-2.171958480493776e-05
