k,n,gain_nats,gain_x_mpd
0,2561,0.0023792334359407086,5.948083589851771
1,5679,0.0006737923409876334,1.6844808524690835
2,6731,9.014624190162301e-05,0.22536560475405754
3,11864,0.0008402080624152486,2.1005201560381215
4,29422,0.006924444846514666,17.311112116286665
5,25663,0.007137042124578552,17.84260531144638
6,19747,0.003901484445580361,9.753711113950901
7,36104,0.005713839324694381,14.284598311735952
8,48760,0.004594669691413866,11.486674228534666
9,107447,0.004206059785497929,10.515149463744821
10,89995,0.006328203162045631,15.820507905114077
11,65692,0.004284816959693183,10.712042399232956
12,34934,0.005229237531440778,13.073093828601944
