window,method,reliability_slope,n
2023-07-31,bt,1.2202172235092312,2561
2023-07-31,u0.5855,1.217022038775184,2561
2023-07-31,u0.1,1.2238564989695786,2561
2023-07-31,u0.8,1.2199087391757781,2561
2023-08-31,bt,1.1139101422539885,5679
2023-08-31,u0.5855,1.1195507761148649,5679
2023-08-31,u0.1,1.1213124898069493,5679
2023-08-31,u0.8,1.1161117697045666,5679
2023-09-30,bt,1.0473303094067656,6731
2023-09-30,u0.5855,1.049102068112,6731
2023-09-30,u0.1,1.0522088048282758,6731
2023-09-30,u0.8,1.047788567239579,6731
2023-10-31,bt,1.2401029473100214,11864
2023-10-31,u0.5855,1.2445895338511757,11864
2023-10-31,u0.1,1.2464725456393806,11864
2023-10-31,u0.8,1.2476696163312606,11864
2023-11-30,bt,1.6023404115520135,29422
2023-11-30,u0.5855,1.6212273783250508,29422
2023-11-30,u0.1,1.6447654529129003,29422
2023-11-30,u0.8,1.630178251590924,29422
2023-12-31,bt,1.5285369704798843,25663
2023-12-31,u0.5855,1.5316463260567377,25663
2023-12-31,u0.1,1.534477974245901,25663
2023-12-31,u0.8,1.5298441342911921,25663
2024-01-31,bt,1.380893236687674,19747
2024-01-31,u0.5855,1.3812700907000457,19747
2024-01-31,u0.1,1.3836184226549377,19747
2024-01-31,u0.8,1.3839586670349786,19747
2024-02-29,bt,1.4462734867398932,36104
2024-02-29,u0.5855,1.449318426238176,36104
2024-02-29,u0.1,1.4477587448796194,36104
2024-02-29,u0.8,1.4501861909288476,36104
2024-03-31,bt,1.4052156559022082,48760
2024-03-31,u0.5855,1.4072459644098185,48760
2024-03-31,u0.1,1.4076371714637923,48760
2024-03-31,u0.8,1.4039153955170982,48760
2024-04-30,bt,1.4052206127553695,107447
2024-04-30,u0.5855,1.4069850243129824,107447
2024-04-30,u0.1,1.4067723331480977,107447
2024-04-30,u0.8,1.4059584234946725,107447
2024-05-31,bt,1.5203241121102895,89995
2024-05-31,u0.5855,1.520049609330521,89995
2024-05-31,u0.1,1.521604834238258,89995
2024-05-31,u0.8,1.5230583464209426,89995
2024-06-30,bt,1.505000258333696,65692
2024-06-30,u0.5855,1.5064842883055696,65692
2024-06-30,u0.1,1.5083727585862852,65692
2024-06-30,u0.8,1.5116565497004422,65692
2024-07-31,bt,1.5197926104243902,34934
2024-07-31,u0.5855,1.5210990716656125,34934
2024-07-31,u0.1,1.521042612656207,34934
2024-07-31,u0.8,1.5203044204696374,34934
