variant,window,nu_hat,unit_hat,n_scoreable,n_unscoreable,davidson_p_tie_0,davidson_width_half_of_p0,davidson_width_abs_10pct,davidson_width_abs_5pct,lattice_p_tie_0,lattice_width_half_of_p0,lattice_width_abs_10pct,lattice_width_abs_5pct
main_tie_only,2023-07-31,0.3763116842578129,0.5939218783669488,3118,1210,0.15835956484611796,2.84,2.238,3.894,0.1675422686081034,1.67,1.44,2.222
main_tie_only,2023-08-31,0.3882883119922981,0.6059170612862647,6780,2864,0.16258016674225984,2.846,2.314,3.96,0.17092604723650306,1.67,1.468,2.242
main_tie_only,2023-09-30,0.3984578862962355,0.608055416365741,8165,3725,0.16613086624236922,2.852,2.378,4.014,0.1715292660675396,1.672,1.474,2.246
main_tie_only,2023-10-31,0.40240436929195883,0.608055416365741,14383,17528,0.16750068158199202,2.854,2.402,4.034,0.1715292660675396,1.672,1.474,2.246
main_tie_only,2023-11-30,0.40240436929195883,0.6443358440122643,36825,19097,0.16750068158199202,2.854,2.402,4.034,0.18176378576630545,1.676,1.554,2.308
main_tie_only,2023-12-31,0.4619871698143881,0.6851521446052636,31999,21794,0.18764808179289488,2.884,2.724,4.3180000000000005,0.19327785185185123,1.68,1.6380000000000001,2.37
main_tie_only,2024-01-31,0.47049195875273353,0.6966482606372624,24567,41355,0.1904446428517293,2.888,2.766,4.356,0.1965208466028296,1.682,1.6600000000000001,2.386
main_tie_only,2024-02-29,0.4793816670323523,0.7097650409494625,45079,106441,0.19334726613758457,2.892,2.8080000000000003,4.394,0.20022102267666775,1.682,1.684,2.402
main_tie_only,2024-03-31,0.4917047877495901,0.723970110489407,61311,190496,0.19733669500778966,2.898,2.864,4.446,0.20422820028061814,1.684,1.71,2.418
main_tie_only,2024-04-30,0.5145619564303168,0.7473381154916766,137372,175968,0.20463284076753915,2.91,2.966,4.54,0.2108201989959913,1.684,1.75,2.442
main_tie_only,2024-05-31,0.549243555775817,0.7848552557819245,114381,58576,0.2154535428878095,2.926,3.11,4.672,0.22140362869250296,1.68,1.81,2.47
main_tie_only,2024-06-30,0.559139058047241,0.7958747748107974,84860,56542,0.21848717297679549,2.932,3.148,4.71,0.22451220566653673,1.678,1.826,2.476
main_tie_only,2024-07-31,0.559139058047241,0.8029184782425066,44789,15206,0.21848717297679549,2.932,3.148,4.71,0.22649922263303068,1.676,1.838,2.48
robustness_bothbad,2023-07-31,1.0671721928725073,1.4,3647,1439,0.34793357717326767,3.164,4.5040000000000004,6.016,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2023-08-31,1.0530609114793188,1.4,8004,3345,0.34491971893514317,3.158,4.476,5.988,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2023-09-30,1.0166941803306133,1.4,9734,4530,0.33702262130501714,3.142,4.404,5.918,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2023-10-31,1.0018613647987944,1.4,17176,20547,0.33374671347154167,3.136,4.374,5.888,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2023-11-30,0.9765353605413717,1.2213523153151093,43693,22643,0.32807786310449194,3.124,4.322,5.836,0.3454568539514355,1.714,2.2720000000000002,2.958
robustness_bothbad,2023-12-31,1.0065319451033148,1.4,37259,25248,0.33478172308883514,3.138,4.384,5.898,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2024-01-31,0.9900844389569395,1.2264452818870777,29701,50951,0.3311225683319901,3.13,4.3500000000000005,5.864,0.3469492991029417,1.714,2.278,2.962
robustness_bothbad,2024-02-29,1.036141657004244,1.4,54259,126321,0.34126920745410916,3.15,4.444,5.956,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2024-03-31,1.0423900413424645,1.4,73916,231993,0.3426220922293403,3.154,4.456,5.968,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2024-04-30,1.079528509501728,1.4,166543,212796,0.3505499319687731,3.168,4.526,6.038,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2024-05-31,1.079528509501728,1.4,143331,71868,0.3505499319687731,3.168,4.526,6.038,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2024-06-30,1.079528509501728,1.4,103953,69181,0.3505499319687731,3.168,4.526,6.038,0.4000014352635875,1.698,2.466,2.974
robustness_bothbad,2024-07-31,1.079528509501728,1.4,56708,18937,0.3505499319687731,3.168,4.526,6.038,0.4000014352635875,1.698,2.466,2.974
